taskname,category
"Furniture, Fixtures and Warehouse Equipment",FF&E + Millwork
"Furniture, Fixtures, Equipment",FF&E + Millwork
"Furniture, Furnishing and Equipment",FF&E + Millwork
"Furniture, b",FF&E + Millwork
Furniture- Evenson's Best,FF&E + Millwork
Furniture- FFE,FF&E + Millwork
Furniture- Mat'l & Labor,FF&E + Millwork
Furniture- Price Modern,FF&E + Millwork
Furniture-Back Office,FF&E + Millwork
Furniture-Leased,FF&E + Millwork
Furniture-Merchants,FF&E + Millwork
"Furniture-Workstations, Tables & Chairs",FF&E + Millwork
Furniture/Construction Accommodation,FF&E + Millwork
Furniture/Decommissioning,FF&E + Millwork
Furniture/Design/ PM Time,FF&E + Millwork
Furniture/Design/PM time,FF&E + Millwork
Furniture/Equipment Relocation,FF&E + Millwork
Furniture/Fixtures,FF&E + Millwork
Furniture/Fixtures/Equipment,FF&E + Millwork
Furniture/Fixtures/Equipoment,FF&E + Millwork
Furniture/Move (Pacific WRO/Suddath/Mother Lode),FF&E + Millwork
Furniture/Office Equip. - Contingency,FF&E + Millwork
Furniture/Paint/Carpet,FF&E + Millwork
"Furniture/Wall Removal, Decom, Install",FF&E + Millwork
"Furniture: Ancillary (front desk, break, phone, mothers, guest chairs)",FF&E + Millwork
Furniture: Ancillary _ EvensonBest,FF&E + Millwork
Furniture: Conference Room and Private Offices,FF&E + Millwork
Furniture: New,FF&E + Millwork
Furniture: Permanent,FF&E + Millwork
Furniture: Workstation/Office _ Danker,FF&E + Millwork
Furniture| Fixtures| Equipment,FF&E + Millwork
Furniture| b,FF&E + Millwork
Furntiure,FF&E + Millwork
Fusion Fee,Soft Costs
G&A Contingency,Construction
G01 Developer Fee,Soft Costs
G3 - Architectural/MEP/Tech,Soft Costs
GACHINA,Uncategorized
GC  Exist Cond/Demo,Construction
GC #120-198- LEIA Business Case approved,Construction
GC & Soft Services Contingency,Soft Costs
GC - Andersen Construction,Construction
GC Activities,Construction
GC Alternates- Ambassador Construction,Construction
GC Construction Costs,Construction
GC Construction Eagle,Construction
GC Contingency,Construction
GC Contingency & Allowances,Construction
GC Contingency (3%),Construction
GC Contingency Carried (Removed and Held by Owner),Construction
GC Contract,Construction
GC Cost (Sierra Pacific),Construction
GC Cost: VV2 Construction,Construction
GC Fee,Construction
GC Fee (1.95%),Construction
GC Fee - Building Construction,Construction
GC Fee - Cafe,Construction
GC Fee - Ruppert (2023),Construction
GC Fee - S/C,Construction
GC Fee - Swinerton,Construction
GC Fee - TI,Construction
GC Fee-Cafe,Construction
GC Fee-S&C,Construction
GC Fee-S/C,Construction
GC Fee-TI,Construction
GC Fees,Construction
GC GMP Contingency,Construction
GC General Conditions and Fee,Construction
GC Insurance/Permitting No Retainage,Soft Costs
GC Mark-Up,Construction
GC Overhead & Profit,Construction
GC Oversite,Construction
GC Pre-Construction,Construction
GC Preconstruction,Construction
GC Restoration scope,Construction
GC Sitco Contingency,Construction
"GC Soft Costs (GCs, GRs, Fee)",Construction
GC cost: VV1 TI,Construction
GC works,Construction
GC's and Contingency (Bancroft),Construction
GCI - Construction,Construction
GEI,Uncategorized
GEL Insurance,Soft Costs
"GENERAL CONSTRUCTION TRADE COSTS  (Budget based on L & K Budget of 4.10.23 including program changes of $969,940)",Construction
GENERAL TRADES,Uncategorized
GL BRanding,FF&E + Millwork
GL Upgrades by Hero,Uncategorized
GMP - 100% CDs,Construction
GMP Construction,Construction
GMP Contingency,Construction
GMP Expense Construction Cost,Construction
GPS Engineering,Soft Costs
GPS Satellite Extension,Uncategorized
GR Contingency,Construction
GST,Uncategorized
GTA,Uncategorized
GTL - Construction,Construction
GTS,Uncategorized
Game Room (pool table),Uncategorized
Game Room Equipment,FF&E + Millwork
GameChanger Project Contingency,Construction
Gaming Equipment,FF&E + Millwork
Gang Bathrooms,Uncategorized
Garage Construction,Construction
Garbage Removal,Uncategorized
Garden State Sealing - Paving,Uncategorized
Gas Company Meter Allowance,Construction
Gas Utility - UGI,Construction
Gate Expansion Construction Costs,Construction
Gateway,Uncategorized
"Gateway (GWB Patch, Paint, Backing)",Construction
Gateway - Construction,Construction
Gateway Construction,Construction
Gen Cond & Req,Uncategorized
Gen Cond & Req-Addison,Uncategorized
Gen Requirements,Uncategorized
Gen. Construction & Others,Construction
General & Admin Total,Uncategorized
General Administrative Costs,Uncategorized
General Cond & Req,Uncategorized
General Cond-Exp,Uncategorized
General Conditions,Construction
General Conditions & General Requirements,Construction
"General Conditions & General Requirements  (PER APPROVED CM RFP . Includes Pre Const Mgmt Fee $125K & Progress Photos $20K, Accounting Staff $65k and addt'l procurement $285k)",Construction
General Conditions & Requirements,Construction
General Conditions (GC Personnel Cost).,Construction
General Conditions (Indirect Project Costs),Construction
General Conditions / Final Clean,Construction
General Conditions Per,Construction
General Conditions Per  (Item 1 & 5 Gilbane GMP 2221006),Construction
General Conditions and Fees,Construction
"General Conditions, Fee, & Insurances",Soft Costs
"General Conditions, General Requirements, Overhead & Fee",Construction
"General Conditions, Insurance, Fee Estimate",Soft Costs
"General Conditions, OH & P, Insurance",Soft Costs
General Conditions/Fee,Construction
General Conditons,Uncategorized
General Construction,Construction
General Construction (LHI),Construction
General Construction (Pavarini),Construction
General Construction (per floor),Construction
General Construction (see description),Construction
General Construction - Andersen Construction,Construction
General Construction - Heffron,Construction
General Construction - Hyman Bldg,Construction
General Construction - MMG Ortho,Construction
General Construction - NRH PT,Construction
General Construction - Stutzman Services Inc,Construction
General Construction - Tenant Build Out,Construction
General Construction - Tenant Improvements,Construction
General Construction 5th Floor + Mail Room,Construction
General Construction 7th Floor,Construction
General Construction AHU 8,Construction
General Construction Cost,Construction
General Construction Costs,Construction
General Construction Exp,Construction
General Construction Infusion,Construction
General Construction- CAPEX,Construction
General Construction- Security,Construction
General Construction-minus security (division 16),Construction
General Contingency,Construction
General Contractor,Construction
General Contractor (Construction Costs),Construction
General Contractor (Including Design),Construction
General Contractor (Rand),Construction
General Contractor (VSP) - Alston Construction,Construction
General Contractor - 3D Group - Expense,Construction
General Contractor - Alterations/ No-Build Easement,Construction
General Contractor - Benchmark (INVISTA),Construction
General Contractor - Clune,Construction
General Contractor - GMP,Construction
General Contractor - Gateway,Construction
General Contractor - Sierra,Construction
General Contractor - Site Demo,Construction
General Contractor - Trsystate Mechanical,Construction
General Contractor ADI,Construction
General Contractor DB,Construction
General Contractor Dummy Entry,Construction
General Contractor Fee,Construction
General Contractor Total Contract,Construction
General Contractor: CS Builders,Construction
General Contractor: Nason Construction,Construction
General Counsel,Uncategorized
General Demolition/Decommissioning,FF&E + Millwork
General Development,Uncategorized
General Furniture,FF&E + Millwork
General Furniture - L,FF&E + Millwork
General Liability Insurance,Soft Costs
General Mover,FF&E + Millwork
General PBX & Voice Mail Systems,Uncategorized
General PBX & Voicemail System,Uncategorized
General Permit Fees (excluding CCD1) (by Brookfield),Soft Costs
General Portables,FF&E + Millwork
General Project Contingency,Construction
General Project Expense,Uncategorized
General Requirement,Uncategorized
General Requirements,Construction
General Requirements (Protection),Construction
General Requirements (Site Facilities Cost).,Construction
General Support/Business Services,Uncategorized
General Trades,Uncategorized
General construction,Construction
Generator,Uncategorized
Generator Allowance,Construction
Generator Material - Cummins,Construction
Generator Relocation,FF&E + Millwork
Genmab Contingency,Construction
Gensler,Uncategorized
Gensler / AMA Base Scope,Construction
Geo Survey Allowance,Construction
GeoTechnical Engineers,Soft Costs
Geotech,Soft Costs
Geotech Engineering - Phase 1,Soft Costs
Geotech Engineering / Soil Inspections,Soft Costs
Geotechnical,Soft Costs
Geotechnical - Pavetex,Soft Costs
Geotechnical Consultant,Soft Costs
Geotechnical Engineer,Soft Costs
"Geotechnical Investigation, Report & Design",Soft Costs
Geotechnical Peer Review,Soft Costs
Geotechnical/Geostructural Engineer - Schnabel Engineering,Soft Costs
Gerencia de proyecto,Soft Costs
Gettysburg Commercial,Uncategorized
Gift Shop Consultant,Soft Costs
Gift Shop FFE,FF&E + Millwork
Giveback: Furniture Demo & Clean Desk - GWS,FF&E + Millwork
Giveback: General Contractor (Includes Data Cabling) - Various,FF&E + Millwork
Glance - GC,Construction
Glance FF&E,FF&E + Millwork
Glass & Gazing,Construction
Glass & Glazing,Construction
Glass Doors,Construction
Glass Doors / Glazing / Mirrors,Construction
Glass Film,Construction
Glass Film Removal and window tint,Construction
Glass and Glazing,Construction
Glass weather striping allowance,Construction
Glazing,Construction
Gold Coast Fencing,Uncategorized
Golf Simulator,Uncategorized
Grain Bin - Concrete Foundations,Construction
Grain Bin - Electrical,Construction
Grain Bin - Sitework,Construction
Grain Bin Design/Build Construction,Construction
Grain Bin System,Uncategorized
Grand Counsel,Uncategorized
Grand Lobby,Uncategorized
Grand Opening Expenses,Uncategorized
Graphic,Uncategorized
Graphic & Sign Consultant,Soft Costs
Graphic Design - Emphasis Design,Soft Costs
Graphic Removal,Uncategorized
Graphic Wallcovering (RIOT),Uncategorized
Graphics,FF&E + Millwork
Graphics & Branding,FF&E + Millwork
Graphics & Branding & Interior Signage,FF&E + Millwork
Graphics & Branding _ Brand X,FF&E + Millwork
Graphics (Breakroom),FF&E + Millwork
Graphics - 3D Identity,FF&E + Millwork
Graphics - Covered in R&S PO,FF&E + Millwork
Graphics - LMNL/OHOH,FF&E + Millwork
Graphics / Branding,FF&E + Millwork
Graphics / Branding / Art Consultant,FF&E + Millwork
Graphics / Branding / Artwork,FF&E + Millwork
Graphics Designer,FF&E + Millwork
Graphics Package,FF&E + Millwork
Graphics Removal,FF&E + Millwork
Graphics and Signage Consultant,FF&E + Millwork
"Graphics, Branding & Signage",FF&E + Millwork
"Graphics, Signage, Artwork",FF&E + Millwork
"Graphics/Branding (logo, Etc.)",FF&E + Millwork
Graphics/Branding Design,FF&E + Millwork
Graphics/Branding Signage,FF&E + Millwork
Green Wall Cabinet & Surround,Uncategorized
Greenwall,Uncategorized
Grifols Clean Room,Uncategorized
Grinnell Branded Millwork,FF&E + Millwork
Grinnell Branded millwork,FF&E + Millwork
Grommets at Reception,Uncategorized
Guaranty Fee,Soft Costs
Guardhouse,Uncategorized
Guest Chairs,FF&E + Millwork
Guest Printer,Uncategorized
Guestroom + Corridors FF&E,FF&E + Millwork
Guestroom Entertainment Package,Uncategorized
Guestrooms and Corridors GC,Construction
Gym Eqm,Uncategorized
Gym Equipment,FF&E + Millwork
Gym Equipment / Move,FF&E + Millwork
Gym Furniture,FF&E + Millwork
Gym Padding,Uncategorized
Gypsom Drywall Work,Construction
Gypsum Drywall/Stucco/Weatherproofing,Construction
H01 Capitalized Interests,Uncategorized
H02 Operating Losses During Leaseup,Uncategorized
HARD COST CONTINGENCY,Construction
HARD COSTS,Construction
HAZMAT,Uncategorized
HAZMAT Testing (NAL),Soft Costs
HBUS Branch Decom,FF&E + Millwork
HC  (Demo/Interior General/MEP/Gen Conditions),Uncategorized
HC & Owner Contingency- OPx,Construction
HC + SC Contingency,Construction
HC Change Order Allowance,Construction
HC Construction Contingency,Construction
HC Cont -Owner 4,Uncategorized
"HC Cont- owners, all",Uncategorized
HC Cont-Risks/Allow,Uncategorized
HC Contingency,Construction
HC Contingency  (FIXED),Construction
HC Contingency  IT Equip,Construction
HC Contingency (10% of $5 mil Hard Cost Budget) - ALLOWANCE,Construction
HC Contingency (10%),Construction
HC Contingency (15%),Construction
HC Contingency (5%),Construction
HC Contingency (Goodman),Construction
HC Contingency (Owner Contingency),Construction
HC Contingency (Owner's),Construction
HC Contingency (Owner),Construction
"HC Contingency (did not use $22,724)",Construction
HC Contingency (did not use),Construction
HC Contingency (~3%),Construction
HC Contingency *,Construction
HC Contingency + Escalation,Construction
HC Contingency - 10%,Construction
HC Contingency - 10% Construction Cost,Construction
HC Contingency - 5%,Construction
HC Contingency - 5% of Hard and Soft,Soft Costs
HC Contingency - 8%,Construction
HC Contingency - Change Orders,Construction
HC Contingency - Construction 6%,Construction
HC Contingency - JTM,Construction
HC Contingency - Other,Construction
HC Contingency - Owner,Construction
HC Contingency - Owner (OneStream),Construction
HC Contingency - Owner Held Contingency,Construction
HC Contingency - SCIF,Construction
HC Contingency - Tenant ALT Construction,Construction
HC Contingency - Unused,Construction
HC Contingency - Within CCI's GMP,Construction
HC Contingency -MCD,Construction
HC Contingency -Owner,Construction
HC Contingency -Owner 1,Construction
HC Contingency -Owner 2,Construction
HC Contingency -Owner- CAPx,Construction
HC Contingency / Change Orders,Construction
HC Contingency 10%,Construction
HC Contingency 5%,Construction
HC Contingency @5%,Construction
HC Contingency EXP,Construction
HC Contingency Phase 2,Construction
HC Contingency Phase 3,Construction
HC Contingency and construction,Construction
"HC Contingency, owners",Construction
HC Contingency- Change Orders,Construction
HC Contingency- GMP Split,Construction
HC Contingency- Other,Construction
HC Contingency- Other 1,Construction
HC Contingency- Other 2,Construction
HC Contingency- Overtime/Acceleration,Construction
HC Contingency: Bldg F and Lot G - Greek Development,Construction
HC Contingency_Admin,Construction
HC GC Fees,Construction
HC Owner Contingency,Construction
HC for support Organon Validation,Uncategorized
HCAi Permits/Fees,Soft Costs
HCS Self Perform (Non-Gen.Cons) - Construction,Construction
HD Filing,Uncategorized
HGI -Fire protection consultants,Soft Costs
HITT GMP Cost,Construction
HLW - Architect - Building Due Diligence Part I,FF&E + Millwork
HLW Architect - Building 1 Loading Dock Design,Soft Costs
HP IT - Voice/Data/AV,Uncategorized
HP IT internal transfer funds,Uncategorized
HPI - Project Management Fee,Soft Costs
HQ Shipping,Uncategorized
HSE,Uncategorized
HSIA,Uncategorized
HST,Uncategorized
HT Panel,Uncategorized
HUGS Scope Changes,Uncategorized
HVAC,Construction
HVAC (CLOSED BOOK - ALL INCLUDED),Construction
HVAC (Supply and Installation),Construction
HVAC - Exist,Construction
HVAC Contingency - Capex,Construction
HVAC Contingency - Opex,Construction
HVAC Controls,Construction
HVAC Controls: Johnson Controls Inc. [3708149-OP-4797420316],Construction
HVAC Controls: LCS Inc. [3708153-OP-4797420316],Construction
HVAC Demo,Construction
HVAC Demo Alternative #1,Construction
HVAC Demo Alternative #2,Construction
HVAC Demo Alternative #3,Construction
HVAC Design,Construction
HVAC Equip - Freezer/Cooler,Construction
HVAC Equip - General Warehouse & Office,Construction
HVAC Equipment,FF&E + Millwork
HVAC Equipment & Electrical: EMCOR [3708145-OP-4797420316],FF&E + Millwork
"HVAC Equipment ( 3 reuse + 5 new heat pump boxes, distribution)",FF&E + Millwork
HVAC Equipment - Envise,FF&E + Millwork
HVAC Equipment - Murphy Company,FF&E + Millwork
HVAC Equipment Allowance,Construction
HVAC Refresh,Construction
HVAC Replacement,Construction
HVAC System - Alliance,Construction
HVAC Test/Balancing,Construction
HVAC Upgrades (DDC Controls),Construction
Haggerty - Insulation,Construction
Halcon Table + Installation,Uncategorized
Hall A Exchange,Uncategorized
Hall Concessions,Uncategorized
Hall of Fame Club,Uncategorized
Handover- Client and IFM Approval,Uncategorized
Hard & Soft Contingency,Soft Costs
Hard Connect - IT,Uncategorized
Hard Construction (Target),Construction
Hard Construction - A-to-Z,Construction
Hard Construction - Alternates,Construction
Hard Construction Contingency,Construction
Hard Construction Cost,Construction
Hard Cost,Construction
Hard Cost - Construction (Unity),Construction
Hard Cost - Demo (Bestway),Construction
Hard Cost - Electrical -(Horan),Construction
Hard Cost - Non Permit Items L&K,Soft Costs
Hard Cost - Permit Items,Soft Costs
Hard Cost - Plumbing (Webster),Construction
Hard Cost - uMetal & Kitchen,Construction
Hard Cost Allowance,Construction
Hard Cost Contingecy,Construction
Hard Cost Contingency,Construction
Hard Cost Contingency (10%),Construction
Hard Cost Contingency (Owner's Contingency),Construction
Hard Cost Contingency - 10%,Construction
Hard Cost Contingency - 5%,Construction
Hard Cost Contingency @ 10%,Construction
Hard Cost Contingency @ 5%,Construction
Hard Costs,Construction
Hard Costs + LVT Flooring,Construction
Hard Costs - Apartment,FF&E + Millwork
Hard Costs - Construction,Construction
Hard Costs - Electrical Contractor,Construction
Hard Costs - Escalation and Contingency,Construction
Hard Costs - Fire Alarm (Horan/Automated),Construction
Hard Costs - Mechanical Equipment,FF&E + Millwork
Hard Costs - Other,Construction
Hard Costs - Other 1,Construction
Hard Costs - Permit Fees,Soft Costs
Hard Costs - Roofing (Temptime contracted / LL)),Construction
Hard Costs - S&C,Construction
Hard Costs - TI,Construction
Hard Costs Cap,Construction
Hard Costs Contingency,Construction
Hard Costs Contingency (10%),Construction
Hard Costs Sales Tax,Construction
Hard Costs Total - (Construction),Construction
Hard Costs | Approved CAR Value - GRE CAP,Construction
Hard Costs | Approved CAR Value - GRE One-Time EXP,Construction
Hard Costs – CAP,Construction
Hard Costs – Temptime purchased RTU,Construction
Hard Flooring (Mosaic/ FOH Stone),Construction
Hardscape,Uncategorized
Hardware,Uncategorized
Hardware - Wifi,Uncategorized
Hargis - Security & Telecom,FF&E + Millwork
Harris Internal Costs,Uncategorized
Haz Mat Abatement,Uncategorized
Haz Mat Survey,Soft Costs
Haz-mat - inspection/ testing,Soft Costs
Hazardous Material Abatement,Construction
Hazardous Material Design,Construction
Hazardous Material Testing,Construction
"Hazardous Materials Survey's, Design, and Monitoring",Soft Costs
Hazardous Waste Removal,Uncategorized
Hazmat & Asbestos Abatement,Uncategorized
Hazmat/Asbestos Abat,Uncategorized
Hazmat/Asbestos Abatement,Uncategorized
HeadCount,Uncategorized
Health & Fitness Equipment (00011 / 41017),FF&E + Millwork
Heat Kits,Uncategorized
Heat Strips,Uncategorized
Heathcare Licenses,Uncategorized
Heating - HB McClure,Construction
"Heating, Ventilating, and Air Conditioning (HVAC)",Construction
High Density Storage System,FF&E + Millwork
High-Top Table,Uncategorized
HighPoint Fee,Soft Costs
Highwall Signage,FF&E + Millwork
Highwall Signage - Fab & Install,FF&E + Millwork
Hill-Rom,Uncategorized
Hillsborough 2nd and 3rd floor - 70 units,Construction
Hillsborough 2x2 - 36 units,Uncategorized
Hilton OnQ System,Uncategorized
Hoarding Graphics,FF&E + Millwork
Hoists/Cranes,Uncategorized
Hoists/Cranes - Relocation,FF&E + Millwork
Hollow Metal & Hardware,Uncategorized
Horiz. Cabling-CommCabl,FF&E + Millwork
Horizontal Cabling,FF&E + Millwork
Hositway Cleaning,Uncategorized
Hospital Equipment,FF&E + Millwork
Hospitality Design Consultant - Apicii,Soft Costs
Hot Desking & Room Scheduling,FF&E + Millwork
Hot Water Tank,Construction
Hotel Management System,Uncategorized
Hourly Support Allowance,Construction
Houston Tyner,Uncategorized
Huitt Zollars,Uncategorized
Huntsman Architectural Group,Soft Costs
Huron Internal Costs,Uncategorized
Hvac,Construction
Hyatt Owner - adjacent building monitoring,Construction
Hyatt Owner - direct expense reimbursement,Uncategorized
Hyatt Owner - existing conditions survey,Soft Costs
Hydraulic Design,Uncategorized
Hydro Equipment,FF&E + Millwork
Hydroworx,Uncategorized
Hygenist Consultant - Langan,Soft Costs
I (unforseen),Uncategorized
I&T Capital | Approved CAR Value - I&T CAP,Uncategorized
I&T Expense | Approved CAR Value - I&T EXP,Uncategorized
I.T./Tele/Data/Security Consultant - RDT,FF&E + Millwork
IA & AHA Credit,Uncategorized
IA Code Consultant,Soft Costs
IA Fee,Soft Costs
IA Reimbursable Expense,Soft Costs
IA/AHA - Architect & Engineering,Soft Costs
IBM Branding,FF&E + Millwork
IBM Issued Funding - Master Budget (Uncommitted costs),Uncategorized
IBM Issued Funding - Master Budget - CAP,Uncategorized
"IBMS, Networking, Car Parking, MGPS,PTS & Kitchen",Construction
IBTS Inspections,Soft Costs
IBTS Plan Review,Uncategorized
ICRA,Uncategorized
ICRA Barrier/Monitoring,Uncategorized
ICRA During Construction,Construction
ICRA and Hazmat Abatement,Uncategorized
ICRA/ Electric/ Curtains,Construction
ICRA/ Electric/ Rolyn,Construction
ICRA/ Electric/Curtains,Construction
IDOMP Multi-function Printer,Uncategorized
IFF Internal KBR Procurement,Uncategorized
IFF Internal PM - FEL,Soft Costs
IFF Internal PM - Post  Gate 3,Soft Costs
IFF Internal PM - Post Gate 3,Soft Costs
IFM & MAC support OPEX,Uncategorized
IFM Landscape Maintenance EOL Projects,Uncategorized
IFM/MAC Support,Uncategorized
IIIA1 	Arch/MEP/Structural/IT Fees,Soft Costs
IIIC	Project Manager / Construction Manager,Construction
INDIRECT COST-ADMINISTRATIVE,Uncategorized
INDIRECT COST-UNFORESEEN,Uncategorized
INDIRECT COST-UTILITY,Uncategorized
IPD Office Renovation,Uncategorized
IS - Contingency,Construction
IS&T,Uncategorized
"IS&T Network Gear, DAS",Uncategorized
IS&T Sales Tax,Construction
ISA Hwd & Prof Serv,Uncategorized
ISA Hwd & Prof Svcs,Uncategorized
ISA Hwd & Professional Services,Uncategorized
ISA Staff Cost,Uncategorized
ISA Staff Cost (exp),Uncategorized
ISA Staff Cost (expense),Uncategorized
ISP,Uncategorized
ISS,Uncategorized
IT,FF&E + Millwork
IT & A/V,FF&E + Millwork
IT & A/V Construction,FF&E + Millwork
IT & AV Design and Scope,FF&E + Millwork
IT & Brivo,FF&E + Millwork
IT & Brivo security (1 door),FF&E + Millwork
IT & Construction,Construction
IT & Hardware,FF&E + Millwork
IT & Network Equipmen,FF&E + Millwork
IT & Network Equipment,FF&E + Millwork
IT & Network Equipment and Cabling,FF&E + Millwork
IT & Power blocks,FF&E + Millwork
IT & Security - KGS,FF&E + Millwork
IT & Technology (Shock IT),FF&E + Millwork
IT & Telecom Systems,FF&E + Millwork
IT (BPC002757),FF&E + Millwork
IT (Low Voltage),FF&E + Millwork
IT (Tele-Data),FF&E + Millwork
IT (cabling & AV),FF&E + Millwork
IT - Cabling and Network Hardware,FF&E + Millwork
IT - Capex,FF&E + Millwork
IT - Equipment,FF&E + Millwork
IT - Exp,FF&E + Millwork
IT - Low Voltage,FF&E + Millwork
IT - MedStar,FF&E + Millwork
"IT - Misc. IT Equip. Comp. Monitors, Printers, etc. (NWB)",FF&E + Millwork
"IT - Network Fiber, Cabling, Wifi, Racks, patches, tray, hangers etc.",FF&E + Millwork
IT - Network Internal,FF&E + Millwork
IT - Network/Wi-Fi/Cabling,FF&E + Millwork
IT - Opex,FF&E + Millwork
IT - Phones,FF&E + Millwork
IT - Phones (NWB),FF&E + Millwork
IT - Procured and Installed by Cambrex,FF&E + Millwork
IT / AV,FF&E + Millwork
IT / AV Equipment,FF&E + Millwork
IT / Cabling,FF&E + Millwork
IT / Data Cabling,FF&E + Millwork
IT / Low -Voltage Cabling - CBF,FF&E + Millwork
IT / Network,FF&E + Millwork
IT / Network - OPEX,FF&E + Millwork
IT / Network / Nursecall,FF&E + Millwork
IT / Network Equipment,FF&E + Millwork
"IT / Network, AV",FF&E + Millwork
IT / Security / AV,FF&E + Millwork
IT / Telecom Consultant,FF&E + Millwork
IT /AV Consultant  Alfatech (347302),FF&E + Millwork
IT 216,FF&E + Millwork
IT 432,FF&E + Millwork
IT 435,FF&E + Millwork
IT A/V Integrator,FF&E + Millwork
IT Allowance,Construction
IT BOM (NIELSEN),FF&E + Millwork
IT Budget,FF&E + Millwork
IT CAP,FF&E + Millwork
IT CAPEX,FF&E + Millwork
IT Cabling,FF&E + Millwork
IT Cabling & Equipment,FF&E + Millwork
IT Cabling & Equipment - IDF Work,FF&E + Millwork
IT Cabling & Equipment - Opt4/Tri-M,FF&E + Millwork
IT Cabling / Low Voltage,FF&E + Millwork
IT Cabling and Equipment,FF&E + Millwork
IT Capex,FF&E + Millwork
IT Capital,FF&E + Millwork
IT Capital - BlueTab IT,FF&E + Millwork
IT Capital - Other,FF&E + Millwork
IT Capital - Phase 1,FF&E + Millwork
IT Capital Anixter CAP,FF&E + Millwork
IT Capital Blackbox OTE,FF&E + Millwork
IT Computer,FF&E + Millwork
IT Conference Rooms Update,FF&E + Millwork
IT Consultant,FF&E + Millwork
IT Consultant - RDT,FF&E + Millwork
IT Consultant/ Alfatech,FF&E + Millwork
IT Consulting,FF&E + Millwork
IT Contingency,Construction
IT Contingency (10%),Construction
IT Cost,FF&E + Millwork
IT Costs,FF&E + Millwork
IT Costs - Per ROM,FF&E + Millwork
IT Data Cable Remove,FF&E + Millwork
IT Data Cabling,FF&E + Millwork
IT Data Cabling (ITS),FF&E + Millwork
IT Data Cabling Works,FF&E + Millwork
IT Data Equipment*,FF&E + Millwork
IT Decomissioning Costs,FF&E + Millwork
IT Decommission,FF&E + Millwork
IT Design,FF&E + Millwork
IT Design (BMS): Schneider Electric,FF&E + Millwork
IT Design - CTSI,FF&E + Millwork
IT Design Lead,FF&E + Millwork
IT Desktop,FF&E + Millwork
IT E-waste Removal,FF&E + Millwork
IT EXP,FF&E + Millwork
IT Engagement ComEd,FF&E + Millwork
"IT Equip, Routers, Switches",FF&E + Millwork
IT Equipment,FF&E + Millwork
IT Equipment & Installation,FF&E + Millwork
IT Equipment (CMT Furnished),FF&E + Millwork
"IT Equipment (Ladder Rack, Patch Panels & Switches)",FF&E + Millwork
IT Equipment (Telecom),FF&E + Millwork
IT Equipment - Additional,FF&E + Millwork
IT Equipment - Employees,FF&E + Millwork
IT Equipment - Evoqua,FF&E + Millwork
IT Equipment - General,FF&E + Millwork
IT Equipment - IT Room,FF&E + Millwork
"IT Equipment List - Tech/Comm, all",FF&E + Millwork
IT Equipment Services,FF&E + Millwork
IT Equipment Tax,FF&E + Millwork
IT Equipment and Install,FF&E + Millwork
IT Equipment by RCDC/MACS,FF&E + Millwork
IT Equipment/ Tech Comm,FF&E + Millwork
IT Equipment/Cabling,FF&E + Millwork
IT Equipment/Data Cabling,FF&E + Millwork
IT Expense,FF&E + Millwork
IT Expense - Other,FF&E + Millwork
IT Expense/Decommission Costs - per ROM,FF&E + Millwork
IT Expense/Decommission Costs - per ROM (E-Waste),FF&E + Millwork
IT Expenses,FF&E + Millwork
IT Hard Costs,FF&E + Millwork
IT Hardware (00011 / 40000),FF&E + Millwork
IT Hardware - Monitors,FF&E + Millwork
IT Hdwr & Software - L,FF&E + Millwork
IT Infrastructure & Facilities,FF&E + Millwork
IT Infrastructure Equipment,FF&E + Millwork
IT Infrastructure Equipment - Leased,FF&E + Millwork
IT Infrastructure Equipment 2.0,FF&E + Millwork
IT Infrastructure Hardware,FF&E + Millwork
IT Infrastructure Low Voltage Cabling,FF&E + Millwork
IT Infrastructure _ RDA,FF&E + Millwork
"IT Infrastructure, Security, AV Consultant",FF&E + Millwork
IT Infrastructures and Computers,FF&E + Millwork
IT Lab Equip/ Furniture,FF&E + Millwork
IT Labor,FF&E + Millwork
IT Labor (Val),FF&E + Millwork
IT Labor + Travel,FF&E + Millwork
IT Labor 2.0,FF&E + Millwork
IT Labor 2.0 Project,FF&E + Millwork
IT Misc.,FF&E + Millwork
IT Misc. Office Equipment Allowance,Construction
IT Network,FF&E + Millwork
IT Network (Ally Internal),FF&E + Millwork
IT Network - Roku Direct Vendor,FF&E + Millwork
IT Network - Sycomp,FF&E + Millwork
IT Network Access,FF&E + Millwork
IT Network Equipment,FF&E + Millwork
IT Network Material,FF&E + Millwork
"IT Network, Desktop & A/V",FF&E + Millwork
IT OPEX,FF&E + Millwork
IT Opex,FF&E + Millwork
IT PM Services,FF&E + Millwork
IT Peripherals,FF&E + Millwork
IT Racking and Cabinets,FF&E + Millwork
IT Recycling/Disposal,FF&E + Millwork
IT Reimbursables,FF&E + Millwork
IT Relocation,FF&E + Millwork
IT Resources - L,FF&E + Millwork
IT Room Hardware,FF&E + Millwork
IT Security,FF&E + Millwork
IT Server,FF&E + Millwork
IT Software - ACCT. 300,FF&E + Millwork
IT Structured Cabling (Included in Construction),FF&E + Millwork
IT System (FG Active),FF&E + Millwork
IT System (PI Passive),FF&E + Millwork
IT Systems,FF&E + Millwork
IT Tax (10%),FF&E + Millwork
IT Tech Support/Dell,FF&E + Millwork
IT Tech/Comm,FF&E + Millwork
IT Telephone,FF&E + Millwork
