taskname,category
11- Equipment,FF&E + Millwork
11-Other,FF&E + Millwork
11.0000 Equipment,FF&E + Millwork
1113,Uncategorized
1116 - Oakwood  D,Uncategorized
1117 Oakwood D,Construction
1118,Uncategorized
1124,Uncategorized
1125 Brookhaven U,Construction
1127 Oakwood U,Construction
1128 Brookhaven U,Construction
1131 Brookhaven U,Construction
1132 Oakwood U,Construction
1134 Brookhaven U,Construction
1135,Uncategorized
1137 Oakwood U,Construction
1138 Brookhaven U,Construction
11: Specialties - Reduced to reflection locker deduction,Uncategorized
12 - Furnishings,FF&E + Millwork
12 Accessories,FF&E + Millwork
12 Entrance Mats,Construction
12 Furnishings,FF&E + Millwork
"12 Furnishings, all",FF&E + Millwork
12 Furniture,FF&E + Millwork
12 L-Furnishings,FF&E + Millwork
12 M-Furnishings,FF&E + Millwork
12 Multiple Seating,FF&E + Millwork
12 Repair Furnishings,FF&E + Millwork
12'W x 7.5' H LED Video Wall,FF&E + Millwork
12-Contingency,FF&E + Millwork
120 Bloor Fit out,Construction
1211 Brookhaven D,Construction
1212 Oakwood D,Construction
1213,Uncategorized
1214 Brookhaven D,Construction
1215 Brookhaven - D,Construction
1217 Oakwood D,Construction
1218,Uncategorized
1221,Uncategorized
1223 Oakwood U,Construction
1225 Brookhaven U,Construction
1226 Oakwood U,Construction
1227 Oakwood U,Construction
1233,Uncategorized
1235 Brookhaven U,Construction
1236 Oakwood U,Construction
1238 Brookhaven U,Construction
12th Floor - Furniture Buyout,FF&E + Millwork
13 - Ice Rink System,Construction
13 L-Special Constr,Construction
13 M-Special Constr,Construction
13 Security Access,FF&E + Millwork
13 Special Constr,Construction
"13 Special Constr, al",Construction
"13 Special Constr, all",Construction
13 Special Constr| al,Construction
13-Escalation,Construction
14 - Vertical Transportation,Construction
14 Acoustical Consultant,Soft Costs
14 Conveying,Construction
"14 Conveying, All",Construction
"14 Conveying, all",Construction
14 Elevators,Construction
14 Escalator,Construction
14 Hoists/Cranes,Construction
14 Lifts,Construction
14 Scaffolding,Construction
14 Truck/Fork Lift,Construction
14 Vertical Transport,Construction
14.0100 Elevator Cab Finishes,Construction
1412 Oakwood D,Construction
1413 Oakwood D,Construction
1414 Brookhaven D,Construction
1415 Brookhaven D,Construction
1417,Uncategorized
1423 Oakwood U,Construction
1424,Uncategorized
1427 Oakwood U,Construction
1431 Brookhaven U,Construction
1434,Uncategorized
1437 Oakwood U,Construction
15 Air Distribution,Construction
15 Basic Mechanical Materials,Construction
15 Fire Protection,Construction
15 Fire Protection-BBM,Construction
15 Fuel for Testing,Construction
15 HVAC,Construction
15 HVAC Controls,Construction
15 HVAC Equipment,FF&E + Millwork
15 HVAC Equipment (Item 13 Gilbane GMP 2221006),FF&E + Millwork
15 HVAC Repair/Parts-BMR,FF&E + Millwork
15 HVAC-BBM,Construction
15 Heat-Generation Equipment,FF&E + Millwork
